t,theta1,theta2,x1,y1,x2,y2
77.61,-0.5285227360286494,-392.35152414802417,-1.0085163925082044,-1.7271058699576693,-1.3491188092319382,-0.7868984493732795
77.62,-0.5559908322461791,-392.56456891874,-1.055570300329772,-1.6987558214945768,-1.1896778084191741,-0.707789032810894
77.63,-0.5897191759560221,-392.78413584905053,-1.1122553057122577,-1.6621937717711892,-1.0273036682082692,-0.6658086959669643
77.64,-0.6292537437049887,-393.0110745501831,-1.1770831966734423,-1.616933872522012,-0.8701273079054961,-0.6652101298578499
77.65,-0.6737163538766094,-393.2452124464271,-1.2477893014304111,-1.5630169094529356,-0.7284046093343202,-0.708476365291192
77.66,-0.7216323431486765,-393.4849797621365,-1.32122199575598,-1.5014567719153904,-0.6137618202467026,-0.7947035617575714
77.67,-0.7708889534854153,-393.72733125365215,-1.3935463053578505,-1.4345831083710292,-0.5371497912257527,-0.9182643980937513
77.68,-0.8189701550854874,-393.9683417216552,-1.4608857201814016,-1.3659476243875779,-0.5060043671190376,-1.0689600799117378
77.69,-0.8634472562394448,-394.20439749951237,-1.5201743492768633,-1.2996422383874207,-0.5223174330141771,-1.2342084958173807
77.7,-0.9024419672050626,-394.43323918039306,-1.5696850474156907,-1.2393905163101744,-0.5829988327252585,-1.4020260405349463
77.71000000000001,-0.9347912321802698,-394.6542337733205,-1.6089501808017115,-1.1879727756552925,-0.681909985684626,-1.562934742576307
77.72,-0.9599318339170917,-394.868030554476,-1.638304943573749,-1.1471516516406255,-0.8119275771346138,-1.7102683786494397
77.73,-0.977684677941507,-395.0760847651305,-1.6584109180505289,-1.117887841820816,-0.9661700423689322,-1.839554364555227
77.74,-0.988063332315186,-395.2803183251114,-1.6699235630192462,-1.1006158701713806,-1.1384357529030753,-1.9476818107556526
77.75,-0.9911402040478616,-395.48295061965325,-1.6733021068418152,-1.0954725278338762,-1.3231591357349535,-2.0321687965274475
77.76,-0.9869631264394795,-395.6864473174698,-1.668711648534413,-1.1024524633949357,-1.5150952937732214,-2.0905830294386565
77.77,-0.9755122358889732,-395.8935233465855,-1.655978459965864,-1.121488002668368,-1.708802856323282,-2.120091819579496
77.78,-0.9567026530632174,-396.10711831407724,-1.63459204806746,-1.1524360443836466,-1.897894599358317,-2.1171493523066407
77.79,-0.9304724768929497,-396.33018523320226,-1.6038046282822827,-1.1949103373476726,-2.0739988943109493,-2.0774732825214226
77.8,-0.8970579883715987,-396.56494967182846,-1.5629894769930643,-1.2478236633470883,-2.2255823226526954,-1.9968034500440806
77.81,-0.857611394768319,-396.811116577006,-1.512563973835372,-1.3084915838687492,-2.337699595918316,-1.87342627493471
77.82000000000001,-0.8150598674517943,-397.06328658463025,-1.455533316976767,-1.3716496503009106,-2.395527150707395,-1.7128410812431263
77.83,-0.7740348692133444,-397.31120659057547,-1.3980524796684064,-1.4301920374876305,-2.3930302453889896,-1.5302882198407892
77.84,-0.7386408552137286,-397.5465316608911,-1.3465672068967656,-1.4787686625399672,-2.337460328701807,-1.3441179248536907
77.85000000000001,-0.7105973874990427,-397.767997186138,-1.3045733811770162,-1.5159446866968358,-2.2416881786038014,-1.1669234030424496
77.86,-0.6899642925992759,-397.9787845182612,-1.2730192852513222,-1.5425374871873334,-2.116366759802237,-1.0051688640164282
77.87,-0.6763374092558464,-398.18299647114213,-1.2518817645071008,-1.559741019430658,-1.9687294412662875,-0.8625112091636581
77.88,-0.6693543601026593,-398.38438769392565,-1.2409595822051076,-1.568444871627092,-1.803850507871664,-0.741913682982497
77.89,-0.6688004289809447,-398.58620142872724,-1.2400905814346304,-1.5691320370947501,-1.6258820756636128,-0.6465460394877146
77.9,-0.6745813953661447,-398.79125022346807,-1.2491409088789793,-1.5619369352713948,-1.438998190715909,-0.5801252361490566
77.91,-0.6866447310309056,-399.00195161822967,-1.2678917324908152,-1.5467548463416687,-1.2482083913855229,-0.546948582066968
77.92,-0.7048529060561413,-399.22021130668645,-1.2958435881570811,-1.5234137307482105,-1.060138241291711,-0.5515891635247453
77.93,-0.7287894370001619,-399.44708171072847,-1.331934132055733,-1.4919622876818777,-0.8836769591309541,-0.5980576468384122
77.94,-0.7574950589906534,-399.68218455160354,-1.374207228328578,-1.4531188848850214,-0.7300526078080568,-0.688223581681986
77.95,-0.7892162637045551,-399.9231189312924,-1.4196028503784444,-1.4088036581431056,-0.6115425876951467,-0.8197038263045623
77.96000000000001,-0.8213954640846566,-400.1654832469417,-1.4641942654462796,-1.3624005112426483,-0.538367891251555,-0.9844514077307471
77.97,-0.8511355391368401,-400.40413002299056,-1.504058714604318,-1.3182592245164857,-0.5151287950190968,-1.169875889370089
77.98,-0.8759638341264342,-400.63512275314906,-1.5363219205448035,-1.2805135518429809,-0.5396869059041256,-1.362480908712504
77.99,-0.8943211763559044,-400.85685997629474,-1.559568568959604,-1.252096593204092,-0.605360947380545,-1.551241733429427
78.0,-0.9055152308516229,-401.0698301863367,-1.5734866024453122,-1.2345606149254509,-0.7040654751116218,-1.7286323742335648
78.01,-0.9093986020781026,-401.27580256168176,-1.5782689830404903,-1.2284408887579152,-0.8282722777838637,-1.889882452393135
78.02,-0.9060631843664867,-401.47718259829963,-1.5741628480176473,-1.233698232113903,-0.9716251163680106,-2.0317886292109426
78.03,-0.8956415724408507,-401.67668942111044,-1.5612204724073948,-1.250036254088669,-1.1288047270469936,-2.1517105983862144
78.04,-0.8781983498351081,-401.8772574672481,-1.5391794103379208,-1.2770774223952948,-1.295069051038692,-2.2468248804908555
78.05,-0.8536828098352784,-402.0820389611316,-1.5074117944624363,-1.3144237071490827,-1.4656032855646433,-2.3135493491900343
78.06,-0.8219412648302777,-402.29437809459415,-1.4649376465336326,-1.3616011500320135,-1.6346309345795502,-2.347098074427095
78.07000000000001,-0.7828379546559207,-402.51753505630046,-1.410588249555489,-1.4178296054942503,-1.7941734969378076,-2.341335078131335
78.08,-0.7366199553894858,-402.75369543740067,-1.3435760158870882,-1.4814869184481445,-1.9325880699171516,-2.289611166449209
78.09,-0.6847147910382498,-403.00162467765256,-1.264904229069751,-1.5491989192100086,-2.034217162942034,-2.1880710580428273
78.10000000000001,-0.630690768237248,-403.25376455636,-1.1794055541541433,-1.6152407061581746,-2.0837771627583215,-2.041986524591924
78.11,-0.5796558782372111,-403.498163412954,-1.09547211869504,-1.67330237469556,-2.076229484812199,-1.868532978871578
78.12,-0.5353115661293988,-403.7274340866186,-1.0202180904908216,-1.7202194766468788,-2.0196809366561244,-1.6874472454876812
78.13,-0.4986469134601243,-403.94217732230214,-0.9564753098759884,-1.7564609251553625,-1.9259979858540677,-1.5114593317640046
78.14,-0.4693016138549896,-404.1465342011521,-0.9045270320875561,-1.7837687204968242,-1.804155587940066,-1.3471127214601366
78.15,-0.4467114304023234,-404.344915460243,-0.8640040089538151,-1.8037452903643951,-1.6599307505958327,-1.1983523419919178
78.16,-0.43046399461282114,-404.54117359222386,-0.8345850255018004,-1.8175444520583697,-1.4971804186962223,-1.0685669190725469
78.17,-0.4203314836851955,-404.7386068648477,-0.8161262094764435,-1.8259074484227322,-1.3189352702999995,-0.9615099424373588
78.18,-0.41620769136093716,-404.94005986931506,-0.8085896283231037,-1.8292574485206572,-1.1282702892039205,-0.8817321058206299
78.19,-0.41799609951497707,-405.14789769085456,-0.8118597924182737,-1.827808435655815,-0.9291438520259461,-0.8347100269560811
78.2,-0.4254343818646723,-405.3637502108506,-0.8254329630693584,-1.8217190846775853,-0.7272932890323288,-0.8265464341390439
78.21000000000001,-0.43783543411178505,-405.58796716535704,-0.8479601483427901,-1.811343034000593,-0.5310073981282474,-0.8629017052240378
78.22,-0.4537877763899141,-405.81890736817223,-0.8767461959086472,-1.797586189299338,-0.35111657341157654,-0.9468726652775398
78.23,-0.47101683881604905,-406.052636101976,-0.9075852646640742,-1.7822146299939978,-0.19921698354213446,-1.0763716033228063
78.24,-0.4867151781834446,-406.2838927723228,-0.9354500962453983,-1.7677480356188986,-0.08415932073327581,-1.243053824170012
78.25,-0.49832206104245297,-406.5082195710428,-0.9559046688399564,-1.7567715457878903,-0.009225496704832858,-1.4345937299073472
78.26,-0.5041575556554517,-406.7235681393407,-0.966139965885239,-1.751163489317679,0.027518300802981233,-1.6387212861990905
78.27,-0.503464027393288,-406.9302868777425,-0.9649252522633933,-1.7518331134969525,0.030656410103146015,-1.8457328129612112
78.28,-0.4960709080874112,-407.1302293108396,-0.951947488610508,-1.7589189802057816,0.0051505161572764635,-2.0486833832464693
78.29,-0.4820505524865897,-407.32597131987507,-0.9271940661502449,-1.7720923124080685,-0.04473072749751694,-2.242473493934159
78.3,-0.4614976387783212,-407.52041402792685,-0.8905791431223951,-1.7907732379716257,-0.11563232935630896,-2.4227996898182167
78.31,-0.43441410599197733,-407.71666657621154,-0.841757998688118,-1.8142335769256874,-0.20492902990699136,-2.585238677117098
78.32000000000001,-0.4006626777512158,-407.9180543626849,-0.7800572467745657,-1.8416054658244485,-0.3103222214764392,-2.7244129227527236
78.33,-0.3599844639101521,-408.1280976181599,-0.7045193861108706,-1.8718045930582503,-0.4291755469073656,-2.8331504050388685
78.34,-0.31213729242247695,-408.35020047815124,-0.614186706919704,-1.9033587914639556,-0.5573728270123427,-2.9017435785324848
78.35000000000001,-0.2573150431187894,-408.58650188481136,-0.5089698258850506,-1.9341534883091727,-0.6874650652714699,-2.918094263720165
78.36,-0.19706675065216678,-408.8351486042233,-0.39158740119426066,-1.9612902149416658,-0.806733726567582,-2.8710448678723495
78.37,-0.1353365735933688,-409.08713984579964,-0.26984762919890753,-1.9817119510705206,-0.8987144258074133,-2.7592250069887836
78.38,-0.07751876663019627,-409.32936224881223,-0.1548823057043856,-1.9939938493836167,-0.9518856446044046,-2.5979687476883573
78.39,-0.027084091134826356,-409.55487482161044,-0.0541615600189832,-1.9992664968473588,-0.9660368746287665,-2.4097338044436016
78.4,0.015370048899340467,-409.76520558113236,0.030738887481041,-1.9997637662475105,-0.9467391903713531,-2.2108007471726294
78.41,0.05043207381460239,-409.96496562953547,0.10082139685369053,-1.9974571449561742,-0.8990957129306142,-2.010332453131235
78.42,0.07876871402553512,-410.1587205421354,0.1573745714821384,-1.9937986970230503,-0.826311329518363,-1.8139041496547883
78.43,0.10084146868487569,-410.35036112555656,0.20134129209984908,-1.9898396126561466,-0.7300718843715712,-1.625876022862581
78.44,0.11690943295220474,-410.5431792894538,0.23328659759478762,-1.9863477448278404,-0.6111209861920296,-1.4506464918488042
78.45,0.12711081366367885,-410.7399740104992,0.25353759695375,-1.983864583818895,-0.4698274919507064,-1.2933988365480777
78.46000000000001,0.1315908971336515,-410.94299466730024,0.2624229017597083,-1.9827088088350278,-0.3068678870633843,-1.1605725684458932
78.47,0.13069539575744676,-411.1536304455478,0.26064727830865214,-1.9829430138837303,-0.12416753272711128,-1.0599492104335069
78.48,0.1252394978793585,-411.3718225920126,0.24982471808907653,-1.9843355588790201,0.07392956177442084,-0.9999266529943553
78.49,0.11677588179067297,-411.59542860259137,0.23302131646660873,-1.986378882809664,0.2797952266655829,-0.9874733811105803
78.5,0.10762184974267032,-411.8202338459882,0.21482843136856233,-1.9884287125958835,0.483097923494832,-1.0250848074434642
78.51,0.10039593913271952,-412.0413074457512,0.2004547397949099,-1.989929118660701,0.6734346226204511,-1.1088558921679552
78.52,0.09726371274289863,-412.25507691629605,0.19422085817314114,-1.9905472258277341,0.8433502005909179,-1.2298691751306836
78.53,0.09950526905925312,-412.46040865825915,0.19868229020525063,-1.9901068683763685,0.9892717582005982,-1.3777603218074885
78.54,0.10762798608391609,-412.6582201946853,0.214840633041641,-1.9884273942978825,1.110353627601512,-1.543392028765645
78.55,0.12171035092356663,-412.85059182628817,0.24282016506251594,-1.9852048678761123,1.206899258093833,-1.719589540042959
78.56,0.14168989655047773,-413.0401291877753,0.2824325543878226,-1.9799575379845826,1.2792895797282826,-1.9007358804068117
78.57000000000001,0.1675322835104703,-413.22968208278616,0.33349938525218986,-1.971998519278453,1.3274282126909276,-2.0820234527538073
78.58,0.19931390597647605,-413.42228551678704,0.3959937325335866,-1.960405306000297,1.3504836421927804,-2.2586485160802314
78.59,0.23724699571025987,-413.62117943808136,0.4700552628320258,-1.943977378953756,1.346799655291111,-2.424933998922283
78.60000000000001,0.28163836287515753,-413.8297483649504,0.5558596690188334,-1.9212027556607014,1.3140165593268303,-2.57327493700147
78.61,0.33270666896518375,-414.0510840382888,0.6532049234823933,-1.8903236040261362,1.2497153464435802,-2.692928933748451
78.62,0.3900798933575166,-414.2865717619213,0.7605246159998216,-1.8497573647530976,1.1533100573046693,-2.769387506222458
78.63,0.4518097180141291,-414.53293733024185,0.8731887525810583,-1.7993169266046312,1.0298338987805191,-2.786971875547909
78.64,0.5135881725237335,-414.7798885604418,0.9826113107848352,-1.7419744578832688,0.8930730972331681,-2.7379578454525477
78.65,0.5703385717440236,-415.0151544502021,1.0798341233614916,-1.6834364454959738,0.7605971927598985,-2.6311113803444552
78.66,0.6193522401056428,-415.23393600151263,1.1610156817039234,-1.6285093143232476,0.6437047927017192,-2.484306862882338
